posicion_id,tema_id,rank,usuario,plataforma,fecha,texto,engagement
T01_P1,1,1,TikTok::tamaulipas.al.dia,TikTok,2026-07-21T12:11:28Z,#Matamoros l ▪️\ud835\udde6\ud835\ude02́\ud835\uddfd\ud835\uddf2\ud835\uddff \ud835\uddf0\ud835\uddee\ud835\uddff\ud835\uddff\ud835\uddf2\ud835\ude01\ud835\uddf2\ud835\uddff\ud835\uddee \ud835\uddf1\ud835\uddf2\ud835\uddf9 \ud835\uddda\ud835\uddfc\ud835\uddf9\ud835\uddf3\ud835\uddfc \ud835\uddf3\ud835\uddfc\ud835\uddff\ud835\ude01\ud835\uddee\ud835\uddf9\ud835\uddf2\ud835\uddf0\ud835\uddf2\ud835\uddff\ud835\uddeé \u,8
T01_P1,1,2,YouTube::@joseangelmatias1466,YouTube,2026-07-24T03:32:31Z,"La necesidad de tener un espacio hospitalario parta millones de mexicanos es un derecho establecido por aquellos que miraron un país con una grandeza , a ellos  les debemos esta posibilidad y al actual régimen  la planeación y construcción de estos inmuebles, gracias , seguro alguna vez lo tendré  que utilizar y si tengo la fortuna de tener un espacio y buena atención, valdrá la pena haber contribuido en mi etapa pro",1
T01_P1,1,3,Twitter::@LaTalacha,Twitter,2026-07-29T07:18:39Z,"Libramiento Poniente colocará a El Mante a la altura de su crecimiento”: Pedro Cepeda El gobernador Américo Villarreal Anaya puso en marcha la construcción del Libramiento Poniente de El Mante, obra que contempla una inversión de 1,314 millones de pesos y la ampliación a cuatro carriles de 13.84 kilómetros. El proyecto conectará las carreteras federales 101, 85 y 80, con el objetivo de mejorar la seguridad vial, agil",0
T01_P1,1,4,Twitter::@LaTalacha,Twitter,2026-07-29T06:15:53Z,"Salen 8.6 millones de mexicanos de la inseguridad alimentaria, según la FAO Pasó de 24.9% en 2014-2016 al 16.5% en el periodo 2023-2025, de acuerdo con el informe “Estado de la Seguridad Alimentaria y la Nutrición en el Mundo (SOFI) 2026” de la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO).",0
T02_P1,2,1,Twitter::@JJDiazMachuca,Twitter,2026-07-28T11:30:57Z,"UNA REFINERÍA CLANDESTINA A 1.5 KM DE LA GUARDIA NACIONAL… ¿Y NADIE LA DETECTÓ DURANTE TANTO TIEMPO? Ahora resulta que una refinería clandestina con millones de litros de hidrocarburos, a sólo 1.5 km de la Guardia Nacional, pasó tanto tiempo sin que la detectaran ni el gobierno de López Obrador, ni el de Claudia Sheinbaum, ni el gobernador Américo Villarreal, ni la Guardia Nacional. Ja, ja, ja. Quieren que los ciudad",3653
T02_P1,2,2,Twitter::@JTrianaT,Twitter,2026-07-29T05:51:37Z,"El morenista Sergio Carmona, alias “el rey del huachicol”, fue asesinado en 2021. Su hermano dirigió la aduana de Reynosa durante el sexenio pasado, su sobrino es diputado local por Morena y su esposa colocó incondicionales en el gabinete de Américo Villarreal. Mario Delgado",1012
T02_P1,2,3,TikTok::olgapsosa,TikTok,2026-07-22T02:45:02Z,Lo #HechoEnTampico está mejor hecho. Tercera entrega del distintivo para fortalecer los emprendimientos de nuestro querido puerto jaibo 🦀 Agradezco la invitación a la presidenta municipal Mónica Villarreal Anaya.,61
T02_P1,2,4,TikTok::olgapsosa,TikTok,2026-07-21T22:19:40Z,"Firma de Pacto por la Prosperidad, la Justicia Económica y la Seguridad en Tampico. Esta firma organizada por la presidenta Mónica Villarreal y el presidente de CANACO Octavio de la Torre impulso de la apertura de nuevos negocios de distintos sectores económicos en nuestro querido #Tamaulipas",45
T03_P1,3,1,Twitter::@juanbaaq,Twitter,2026-07-28T17:00:37Z,"Abre el Departamento de Justicia de #EEUU la posibilidad de revisar la solicitud de extradición de Francisco García Cabeza de Vaca “Personaje infame que hace proselitismo desde Estados Unidos, pero no enfrenta la justicia en México” Me dijo el periodista Jesús García @JesusGar en @Radio_Formula",699
T03_P1,3,2,YouTube::@joaquinl.v.1776,YouTube,2026-07-28T14:06:50Z,"Al don que agarraron un tal rufo, ya lo tienen como con 100 carpetas de investigación 😅😅 pero la que le recibe los papeles a wasawski yo creo no tiene ni una carpeta para esto. Y todavia salen los🐖🐖 del pri guinda que ellos si combaten el huachicol. No lo se rick!!!",14
