palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
madre,3,5,broker,0.9081,1.5689,44
muerte,3,5,broker,0.9149,0.5883,52
doenitz,3,0,broker,0.9346,1.9528,58
presunto,3,0,broker,0.8374,0.9113,17
ocurrido,3,0,broker,0.8163,-0.1302,14
video,3,2,broker,0.8505,1.2477,27
exalumno,3,0,broker,0.7901,-0.1302,9
carpeta,3,2,broker,0.7975,2.3914,22
cdmx,3,2,broker,0.7654,-0.4679,9
ochoa,3,4,periferico,0.2778,0.9487,6
retiro,3,4,periferico,0.3457,2.2136,9
llamado,3,1,broker,0.7963,1.4704,18
guillermo,3,4,periferico,0.0,-0.3162,3
violencia,3,0,broker,0.8359,0.3906,16
dolor,3,3,broker,0.7273,0.796,11
mensaje,3,4,broker,0.78,-0.3162,10
sentir,3,1,broker,0.7656,1.4704,16
miedo,3,3,broker,0.76,0.2985,10
suceder,3,3,broker,0.7128,2.2886,17
actuar,3,3,broker,0.7812,-0.6965,8
casodafne,3,0,broker,0.6667,-1.1717,3
expresar,3,6,broker,0.7188,-1.4596,8
abrir,3,1,broker,0.839,0.919,21
fisico,3,7,broker,0.8333,1.7889,18
amenaza,3,5,broker,0.625,-0.3922,4
frente,3,1,broker,0.7811,0.919,13
opcion,3,1,broker,0.5625,0.919,8
gustar,3,1,broker,0.8056,-0.1838,12
describir,3,4,broker,0.6531,-0.3162,7
tranquilo,3,3,broker,0.7347,-0.199,7
practicamente,3,6,broker,0.7755,0.2085,7
morenista,3,2,broker,0.5714,0.104,7
favor,3,3,broker,0.7755,0.2985,14
agarrar,3,3,broker,0.7083,0.2985,12
trayectoria,3,4,broker,0.72,-0.9487,5
profesional,3,4,broker,0.7654,-0.3162,9
garcia,3,2,broker,0.7778,0.104,12
doctor,3,6,broker,0.7901,1.0426,9
morelos,3,5,periferico,0.0,-0.3922,2
acusacion,3,3,broker,0.6667,-1.194,3
comentario,3,2,broker,0.8125,-1.0398,8
psicologico,3,7,broker,0.7222,0.2236,6
aleman,3,7,periferico,0.0,0.2236,1
descartar,3,3,periferico,0.0,-1.194,1
senalamiento,3,0,broker,0.7778,-0.6509,6
dema,3,1,broker,0.5,-0.7352,4
aprendizaje,3,1,periferico,0.0,-0.1838,3
senado,3,2,periferico,0.0,0.104,4
mecanismo,3,7,broker,0.5,-1.3416,2
periodista,3,2,periferico,0.32,0.104,5
disputar,3,4,broker,0.625,-0.9487,4
recurrir,3,0,periferico,0.0,-1.1717,1
voz,3,7,broker,0.625,-1.3416,4
adelantar,3,6,broker,0.625,0.2085,4
canal,3,6,broker,0.6939,1.0426,7
agente,3,3,broker,0.64,-0.6965,5
augusto,3,2,periferico,0.4444,-1.0398,3
diversion,3,1,periferico,0.0,-0.1838,3
visita,3,6,broker,0.7812,1.0426,8
aprovechar,3,1,broker,0.6173,0.919,9
tampicovacontodos,3,1,periferico,0.0,-1.2866,1
juego,3,1,periferico,0.0,-0.1838,3
imss,3,1,broker,0.6667,-1.2866,3
postura,3,2,periferico,0.0,-0.4679,3
suspender,3,2,broker,0.625,-1.0398,4
seguidor,3,6,periferico,0.0,-0.6255,1
preparacion,3,1,periferico,0.4444,-1.2866,3
tecnologia,3,1,periferico,0.4444,-1.2866,3
comparacion,3,7,periferico,0.0,0.2236,1
escala,3,7,periferico,0.0,0.2236,1
tijuana,3,5,periferico,0.0,-1.3728,1
preocupacion,3,6,periferico,0.0,-1.4596,1
acuerdo,17,3,broker,0.8762,0.866,31
general,17,3,broker,0.8781,1.7321,44
medico,17,0,broker,0.7922,1.1346,19
salud,17,0,broker,0.8658,0.6189,23
avance,17,0,broker,0.88,0.1031,25
hospital,17,0,broker,0.8313,1.6503,27
faltar,17,2,broker,0.75,0.8183,12
salir,17,2,broker,0.8613,2.0185,32
contar,17,1,broker,0.86,0.7343,30
final,17,5,broker,0.8166,0.7071,17
informacion,17,1,broker,0.8056,0.7343,24
mundial,17,5,broker,0.7337,1.7678,13
observar,17,5,broker,0.56,-0.3536,5
laboral,17,0,broker,0.5312,0.1031,8
noticia,17,2,broker,0.8061,-0.3819,14
deportivo,17,4,broker,0.8402,1.5689,13
practicar,17,4,periferico,0.32,1.5689,5
reportar,17,5,broker,0.7917,-1.4142,12
fallecimiento,17,3,broker,0.8264,-0.866,11
correspondiente,17,1,broker,0.6509,0.7343,13
oficial,17,1,broker,0.821,-0.216,18
digno,17,4,broker,0.625,-0.3922,4
red,17,6,broker,0.8556,1.9597,30
declaracion,17,6,broker,0.8194,0.5157,12
report,17,1,broker,0.6111,0.7343,12
acoso,17,0,periferico,0.2778,0.1031,6
presentado,17,3,broker,0.6667,-0.866,6
aniversario,17,7,broker,0.6939,1.4142,7
clinica,17,4,periferico,0.375,-1.3728,4
objeto,17,2,broker,0.6667,-0.3819,6
relevante,17,3,periferico,0.375,0.0,4
causa,17,4,broker,0.8056,0.5883,12
sufrir,17,0,broker,0.75,0.1031,12
decada,17,7,broker,0.8395,0.0,9
amigo,17,5,broker,0.7654,-0.3536,9
autopsia,17,4,broker,0.72,-0.3922,5
utilizar,17,2,broker,0.8203,0.2182,16
busqueda,17,6,broker,0.7778,-0.2063,6
personaje,17,8,broker,0.7778,1.4142,6
testigo,17,2,periferico,0.2778,0.8183,6
july,17,3,broker,0.625,-0.866,4
evidencia,17,2,periferico,0.449,0.8183,7
maniobra,17,2,broker,0.6939,-0.3819,7
llenar,17,5,broker,0.56,-0.3536,5
atleta,17,4,periferico,0.0,0.5883,3
progreso,17,0,broker,0.6667,-1.9597,3
dependencia,17,1,periferico,0.46,0.7343,10
animal,17,1,periferico,0.3704,0.7343,9
desaparicion,17,6,broker,0.7222,-0.2063,6
detalle,17,6,broker,0.74,-0.2063,10
bordo,17,6,broker,0.625,-0.2063,4
indagatoria,17,2,broker,0.5,-1.5821,2
localizar,17,4,broker,0.75,-1.3728,4
transportar,17,1,broker,0.75,-2.1165,4
referir,17,0,periferico,0.0,-0.9283,3
publicado,17,8,broker,0.75,-0.7071,4
asistir,17,7,broker,0.72,-1.4142,5
aproximado,17,4,broker,0.625,-0.3922,4
cita,17,4,periferico,0.0,-0.3922,2
mananera,17,0,periferico,0.375,-0.9283,4
procedimiento,17,1,periferico,0.32,-0.6911,5
clasico,17,8,broker,0.72,-0.7071,5
comunicado,17,1,periferico,0.2449,0.2592,7
enhorabuena,17,7,broker,0.625,0.0,4
atribuir,17,6,broker,0.5,-1.6503,2
version,17,2,broker,0.625,-0.982,4
liberar,17,2,broker,0.625,-0.982,4
