tema_id,n_palabras,fuerza_intra,fuerza_extra,fuerza_total,ratio_endogamia,broker_index,hub_local,eigenvector_interno,aislamiento,veredicto
0,172,20935.0,6355.0,27290.0,0.7671,0.5787,0.0,0.0,0.8012,conector_legitimo
1,179,22996.0,1620.0,24616.0,0.9342,0.7109,0.0,0.0,0.9493,burbuja_vacia
2,165,2910.0,0.0,2910.0,1.0,0.2232,0.0,0.0,1.0,burbuja_vacia
3,158,3863.0,368.0,4231.0,0.913,0.2916,0.0,0.0,0.9885,burbuja_vacia
4,147,2524.0,77.0,2601.0,0.9704,0.3683,-0.0,0.0,0.9976,burbuja_vacia
6,171,14913.0,4460.0,19373.0,0.7698,0.6696,0.0,0.0,0.8605,conector_legitimo
7,142,70841.0,31966.0,102807.0,0.6891,0.6854,-0.0,0.0,0.0,conector_legitimo
8,132,39485.0,17191.0,56676.0,0.6967,0.6547,0.0,0.0,0.4622,conector_legitimo
10,159,2797.0,232.0,3029.0,0.9234,0.3739,0.0,0.0,0.9927,burbuja_vacia
11,149,37720.0,2538.0,40258.0,0.937,0.7593,-0.0,0.0,0.9206,burbuja_vacia
12,175,10551.0,930.0,11481.0,0.919,0.5473,0.0,0.0,0.9709,burbuja_vacia
13,215,11531.0,912.0,12443.0,0.9267,0.5884,0.0,0.0,0.9715,burbuja_vacia
