palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
soltar,3,-1,periferico,0.0,-0.6963,5
gobernadora,3,-1,broker,0.6667,-0.6963,6
merecer,3,2,broker,0.7347,-0.9776,7
jajajajaja,3,-1,periferico,0.0,-0.6963,1
daño,3,2,broker,0.64,-0.7767,10
convertir,3,0,broker,0.7449,-0.9574,14
llorar,3,2,periferico,0.48,-0.9776,5
amar,3,3,broker,0.5,-0.5318,6
puesto,3,-1,broker,0.6667,1.4361,3
ala,3,4,broker,0.76,0.0483,10
comprar,3,3,broker,0.625,-0.8133,4
auto,3,2,broker,0.7574,-0.5758,13
dónde,3,7,broker,0.7692,-1.0,13
augusto,3,-1,broker,0.5625,1.4361,8
pruebas,3,-1,periferico,0.0,1.4361,1
carmen,3,-1,broker,0.6667,-0.6963,3
tamaulipeco,3,5,periferico,0.32,0.5774,5
estúpido,3,-1,periferico,0.4444,-0.6963,3
señora,3,3,broker,0.8333,-1.0948,6
inventar,3,-1,periferico,0.4444,-0.6963,3
hipócrita,3,-1,periferico,0.4444,-0.6963,3
matar,3,-1,broker,0.5625,1.4361,8
carcel,3,4,periferico,0.375,0.0483,4
peor,3,5,broker,0.6111,-1.1547,6
ojala,3,-1,broker,0.7188,-0.6963,8
nuevamente,3,-1,periferico,0.48,-0.6963,5
agarrar,3,2,broker,0.64,-0.7767,10
amigo,3,-1,broker,0.5625,-0.6963,8
rata,3,0,broker,0.782,-0.9574,17
cartel,3,-1,broker,0.5625,-0.6963,8
tocar,3,2,broker,0.5714,-1.1785,7
necesidad,3,-1,broker,0.6939,1.4361,7
señor,3,0,broker,0.71,-0.5938,20
comentarista,3,1,periferico,0.48,-0.5036,10
miedo,3,-1,broker,0.6667,-0.6963,9
prianista,3,4,periferico,0.4444,-1.5468,3
cine,3,-1,broker,0.6667,1.4361,3
demá,3,-1,broker,0.6939,-0.6963,7
mamá,3,-1,broker,0.75,1.4361,4
simple,3,-1,broker,0.625,-0.6963,4
mural,3,-1,periferico,0.0,-0.6963,1
eléctrico,3,-1,periferico,0.0,-0.6963,2
preocupar,3,3,periferico,0.0,-1.0948,1
asesino,3,4,broker,0.5,-0.4834,4
arder,3,-1,periferico,0.0,-0.6963,1
humanos,3,-1,broker,0.6667,1.4361,3
acer,3,-1,periferico,0.0,-0.6963,1
gana,3,-1,periferico,0.0,-0.6963,2
genial,3,3,broker,0.5,-1.0948,2
